month,day,wind,rain,area
9.0,5,2.2,0.0,5.97
9.0,5,4.9,0.0,13.06
9.0,5,4.9,0.0,1.26
9.0,5,3.6,0.0,0.0
9.0,5,2.2,0.0,8.12
9.0,5,2.2,0.0,1.09
9.0,5,3.1,0.0,0.52
9.0,2,2.2,0.0,2.93
9.0,2,2.7,0.0,5.65
9.0,2,3.1,0.0,20.03
9.0,2,3.6,0.0,0.0
9.0,7,7.6,0.0,0.0
9.0,7,7.6,0.0,11.06
8.0,4,2.7,0.0,0.0
9.0,5,4.0,0.0,18.3
9.0,6,4.9,0.0,39.35
8.0,1,2.2,0.0,0.0
8.0,6,2.2,0.0,174.63
3.0,4,5.8,0.0,0.0
1.0,7,0.9,0.0,0.0
7.0,3,7.2,0.0,7.73
8.0,4,2.7,0.0,16.33
8.0,3,1.8,0.0,5.86
8.0,4,2.7,0.0,42.87
8.0,6,4.5,0.0,12.18
8.0,7,2.2,0.0,16.0
9.0,7,5.4,0.0,24.59
3.0,4,5.4,0.0,0.0
8.0,5,3.1,0.0,28.74
8.0,5,3.1,0.0,0.0
9.0,5,2.7,0.0,30.18
9.0,7,4.0,0.0,70.76
3.0,2,7.6,0.0,0.0
2.0,1,1.8,0.0,0.0
2.0,7,1.8,0.0,51.78
9.0,7,4.9,0.0,3.64
8.0,6,3.1,0.0,0.0
,3,4.5,0.0,0.0
,3,4.5,0.0,8.16
9.0,4,4.0,0.0,4.95
8.0,5,4.0,0.0,0.0
8.0,4,3.6,0.0,0.0
9.0,3,2.2,0.0,6.04
8.0,2,2.2,0.0,0.0
2.0,6,4.0,0.0,0.0
9.0,5,3.1,0.0,7.8
7.0,2,5.4,0.0,0.0
7.0,1,4.5,0.0,1.63
8.0,6,3.6,0.0,0.0
8.0,7,4.0,0.0,0.0
8.0,4,4.9,0.0,746.28
7.0,2,3.1,0.0,7.02
3.0,3,5.8,0.0,0.0
8.0,7,5.4,0.0,2.44
8.0,7,4.0,0.0,3.05
8.0,3,4.5,0.0,185.76
8.0,3,4.5,0.0,0.0
7.0,7,3.6,0.0,6.3
8.0,6,3.6,0.0,4.96
8.0,4,2.2,0.0,0.0
8.0,4,2.2,0.0,0.0
8.0,1,2.2,0.0,2.35
8.0,4,5.8,0.0,0.0
9.0,4,3.6,0.0,0.0
8.0,6,4.0,0.0,6.36
8.0,4,6.7,0.0,0.0
8.0,7,4.9,0.0,15.34
8.0,5,3.6,0.0,0.0
8.0,1,1.3,0.0,0.54
8.0,6,2.7,0.0,0.0
8.0,6,4.0,0.0,6.43
9.0,5,2.2,0.0,0.33
9.0,5,3.6,0.0,0.0
8.0,1,1.8,0.0,1.23
4.0,1,3.1,0.0,3.35
7.0,5,8.0,0.0,0.0
9.0,5,3.6,0.0,9.96
8.0,7,4.5,0.0,0.0
8.0,7,2.2,0.0,0.0
9.0,3,4.0,0.0,0.0
8.0,7,4.9,0.0,0.0
8.0,3,5.4,0.0,6.43
8.0,5,4.9,0.0,9.71
8.0,4,3.1,0.0,0.0
7.0,1,2.7,0.0,0.0
8.0,4,2.7,0.0,0.0
8.0,6,4.9,0.0,3.32
8.0,6,8.0,0.0,1.94
8.0,6,4.9,0.0,0.0
2.0,2,6.3,0.0,5.39
2.0,2,5.4,0.0,2.14
3.0,1,5.8,0.0,3.18
3.0,3,5.4,0.0,5.55
3.0,4,3.6,0.0,6.61
4.0,7,9.4,0.0,61.13
4.0,7,5.8,0.0,0.0
5.0,5,4.0,0.0,38.48
,4,2.7,0.0,10.08
7.0,4,1.3,0.0,1.76
7.0,7,4.0,0.0,7.36
7.0,1,4.9,0.0,278.53
7.0,4,4.5,0.0,2.75
7.0,4,4.9,0.0,0.0
8.0,7,5.4,0.0,0.0
8.0,2,6.3,0.0,2.0
8.0,2,7.6,0.0,46.7
8.0,3,1.3,0.0,0.0
8.0,3,4.0,0.0,0.0
8.0,5,2.2,0.0,0.0
8.0,5,4.5,0.0,43.32
8.0,6,4.9,0.0,8.59
8.0,1,2.2,0.0,0.0
8.0,1,3.1,0.0,2.77
8.0,2,4.9,6.4,10.82
8.0,2,4.9,0.8,0.0
8.0,2,4.9,0.4,0.0
8.0,3,4.9,0.0,1.95
8.0,3,4.9,0.0,49.59
8.0,4,1.8,0.0,5.8
8.0,5,8.5,0.0,0.0
8.0,5,3.6,0.0,0.0
8.0,5,3.6,0.0,0.0
8.0,5,7.6,1.4,2.17
8.0,5,5.4,0.0,0.43
8.0,7,6.7,0.0,11.16
11.0,2,4.5,0.0,0.0
